,ResNN
361,0.939688778348107
362,0.9399647316538449
363,0.9402681662158691
364,0.939633688072332
365,0.9389719203173112
366,0.9399371865159575
367,0.9394130258048975
368,0.9410952869317012
369,0.9404611281961686
370,0.9405162093460004
371,0.9399094406073245
372,0.939826896453092
373,0.941095387317074
374,0.9404885090670824
375,0.9408471251643112
376,0.9397715962806288
377,0.940020050078194
378,0.9412607494038282
379,0.9398545145985233
380,0.939799260055775
381,0.9403231469803282
382,0.9404611920777692
383,0.9406541905618407
384,0.9406540171689242
385,0.9401853482833473
386,0.9410677235419278
387,0.9402405206926089
388,0.9406817722035001
389,0.9407094633564752
390,0.9414539212808161
391,0.9414814937965325
392,0.9404334552950795
393,0.9403784289009055
394,0.9413711672298951
395,0.9401852752758035
396,0.9405162367238294
397,0.9406540627986391
398,0.9401851748904306
399,0.9406263716456641
400,0.9409296966963727
401,0.9403508107554743
402,0.9404059831565187
403,0.9406542270656127
404,0.9393855263049422
405,0.9406816079365263
406,0.9405988082558907
407,0.940323174358157
408,0.9401578122714029
409,0.9397716054065718
410,0.9411780044788502
411,0.9402679289413516
412,0.940654117554297
413,0.9408472255496841
414,0.9408747980654003
415,0.9405990637822941
416,0.9398543229537207
417,0.940075039968596
418,0.9403233203732447
419,0.940654108428354
420,0.9399923041695611
421,0.9413987306196685
422,0.9414814299149317
423,0.9399370405008697
424,0.9404335374285662
425,0.9412057595134262
426,0.9409298883411752
427,0.9405438001136026
428,0.9402404294331792
429,0.9401852570239176
430,0.9399923863030479
431,0.939799260055775
432,0.9404061291798236
433,0.9410402879153563
434,0.9398269694606358
435,0.9406816626921843
436,0.9405162641016582
437,0.9407644806247062
438,0.9417020739222631
439,0.9410125328807802
440,0.940736835101446
441,0.9401852935276895
442,0.940543681476344
443,0.9405989360190924
444,0.9410675957787262
445,0.9409574608568916
446,0.940847216423741
447,0.9401577483898022
448,0.9406265815423525
449,0.9404610369367388
450,0.9413711398520662
451,0.9403784380268486
452,0.9403233386251308
453,0.9400199496928213
454,0.9405162823535442
455,0.9403234298845604
456,0.9397718244292032
457,0.9404887554675427
458,0.9409300434822058
459,0.9398269512087499
460,0.9395510709105559
461,0.9409574426050056
462,0.9404884999411394
463,0.9403781186188443
464,0.9413159765687477
465,0.9407093082154445
466,0.9414813295295589
467,0.9412058233950271
468,0.9415641657139665
469,0.9404610916923967
470,0.9397164421232531
471,0.9406539715392093
472,0.9400197580480188
473,0.9400197306701897
474,0.9414812656479581
475,0.9409020968028273
476,0.9413986302342958
477,0.9405437727357737
478,0.940212783909919
479,0.9406817995813289
480,0.9409851611358097
481,0.9413987945012695
482,0.9404335921842241
483,0.9408747250578565
484,0.941012633266153
485,0.9413160313244054
486,0.9407918706215629
487,0.9394684172450077
488,0.9405988447596626
489,0.940819580026424
490,0.9407368989830467
491,0.9398544142131505
492,0.9405163006054301
493,0.940460936551366
494,0.9403231013506133
495,0.9396061429344447
496,0.940240566322324
497,0.9390271018525159
498,0.9408194431372792
499,0.941509029808477
